Key	English(en)	DE	ES	FR	IT	NL	PT																		Last Edited
chap01_convo_01/053DA7FC-49526289-5B1D8FA5-719C1C50	Mom, are you sure you don’t want me to handle the map?	Mama, bist du dir ganz sicher, dass ich nicht besser die Karte lesen sollte?	Mamá, ¿seguro que no quieres que me encargue del mapa?	Maman, tu es sûre que tu ne veux as que je prenne la carte ?	Mamma, davvero non vuoi che consulti io la cartina?	Mam, weet je zeker dat ik de kaart niet hoef te lezen?	Mãe, não quer mesmo que eu olhe o mapa?																		1632302790761
chap01_convo_01/FE15BA0F-46E95E9E-6195ADA0-9AD8BEFB	It’s alright kiddo, we’re definitely close to the hotel this time. We just take a right here, and…	Nein, nein, meine Süße, dieses Mal ist das Hotel ganz bestimmt gleich hier. Wir müssen nur hier um die Ecke biegen und ...	Todo controlado, hija. Esta vez nos queda nada para llegar al hotel. Vamos a la derecha por aquí y...	Ne t’en fais pas, je sais qu’on n’est plus très loin de l’hôtel, cette fois. On tourne juste ici et...	Va tutto bene, tesoro, siamo sicuramente vicine all’hotel stavolta. Ora giriamo a destra in questa strada e...	Het komt wel goed, lieverd. We zijn bijna bij het hotel. Als we hier rechtsaf gaan, dan...	Não precisa querida, desta vez estamos perto do hotel. É só virar à direita aqui e...																		1632302790761
chap01_convo_01/79739569-42B00D51-0710B487-6AE5A09B	Oh, darn it! The route changed again!	Ach Mist! Die Weganzeige hat sich schon wieder verändert!	¡Maldita sea! ¡Ha vuelto a cambiar la ruta!	Oh bon sang ! La carte n’est sans doute pas à jour !	Oh, dannazione! Il percorso è cambiato di nuovo!	Verdorie, de route is wéér veranderd.	Ah, diacho! A rota mudou de novo!																		1632302790761
chap01_convo_01/3E278252-4016AE46-13B40288-AEE7E114	Sorry honey, I know I said I’d handle this, but could you lend your mom a hand here?	Entschuldige, Liebes, ich hatte zwar gesagt, dass ich das schaffe, aber könntest du deiner Mama hier kurz helfen?	Lo siento, cariño. Sé que te dije que yo me encargaría, pero ¿podrías echarle una mano a tu madre?	Désolée, ma chérie. Je sais que j’ai dit que je n’avais pas besoin d’aide, mais est-ce que tu pourrais me donner un coup de main ?	Scusa, tesoro, so di averti detto che mi arrangiavo, ma potresti dare una mano qui?	Sorry, mop. Ik had gezegd dat het me wel zou lukken, maar kun je je moeder misschien een handje helpen?	Desculpe, querida, sei que falei que daria conta, mas pode me dar uma mãozinha?																		1632302790761
chap01_convo_01/A2ECD2C8-4DB03B45-31828AB4-6B8D1A2D	It’s alright Mom, I don’t mind. Let me take a look at your phone and see where we are...	Ist schon okay, Mama, mach ich doch gern. Zeig mir dein Telefon, damit ich sehen kann, wo wir sind ...	No pasa nada mamá, no me importa. Deja que le eche un vistazo a tu teléfono y vea dónde estamos...	Ce n’est pas grave, maman. Je vais t’aider. Laisse-moi jeter un œil à ton portable...	Va bene, mamma, non c’è problema. Lascia che guardi sul tuo telefono per capire dove siamo...	Ik vind het niet erg, mam. Laat me even naar je telefoon kijken om te zien waar we zijn...	Claro, mamãe, deixa comigo. Vou dar uma olhada no seu telefone para conferir onde estamos.																		1632302790761
chap01_convo_02/520C57F6-409631C7-04CF97B9-F6E7ED12	Yeah, we’re still lost, Mom. Maybe we can just ask someone instead?	Okay, wir laufen also immer noch in die verkehrte Richtung. Vielleicht können wir ja jemanden fragen?	Sí, seguimos perdidas, mamá. ¿Y si le preguntamos a alguien?	Oui, on est toujours perdues, maman. On pourrait peut-être demander à quelqu’un ?	Sì, ci siamo perse ancora, mamma. Forse potremmo chiedere a qualcuno, no?	Ja, we zijn nog steeds verdwaald. Misschien kunnen we aan iemand de weg vragen?	Então, ainda estamos perdidas. Não seria melhor perguntar para alguém?																		1632363510766
chap01_convo_02/FE7A2F17-44B6A162-E317F084-8DD7A1A0	Hm, alright. There’s someone, let’s ask her.	Hm, also gut. Dort ist jemand, fragen wir sie.	Hm, vale. Por ahí viene alguien, vamos a preguntarle.	Oui, pourquoi pas ? Tiens, demandons à cette dame.	Ehm, e va bene. Ecco una persona, chiediamo a lei.	Hm, goed dan. We kunnen het aan haar vragen.	Hum, tá bom. Tem alguém ali, vamos perguntar para ela.																		1632363510766
chap01_convo_02/F9E48D05-43B2A3A8-689EE7B7-1B052419	Excuse me! Excuse me, do you speak English?	Hallo? Entschuldigen Sie, können Sie mich verstehen?	¡Disculpe! Disculpe, ¿habla mi idioma?	Excusez-moi ! Excusez-moi, est-ce que vous pouvez m’aider ?	Mi scusi! Mi scusi, parla la mia lingua?	Sorry, neem me niet kwalijk. Spreekt u Engels?	Desculpe incomodar! Você fala inglês? 																		1632363510766
chap01_convo_02/7DB0CCB1-414D65A4-C56A0BBF-3DD99537	Yes?	Ja?	¿Sí?	Bien sûr !	Sì?	Ja?	Sim?																		1632363510766
chap01_convo_02/D5A709C0-4CB7706B-56B9D38D-DA946290	Hi, my daughter and I are looking for the Hôtel Hospitalité. Do you know how to get there?	Hallo, meine Tochter und ich suchen nach dem Hôtel Hospitalité. Wissen Sie, wo das ist?	Hola, mi hija y yo estamos buscando el Hôtel Hospitalité. ¿Sabe cómo llegar hasta allí?	Bonjour. Ma fille et moi cherchons l’hôtel Hospitalité. Savez-vous où il se trouve ?	Ciao, io e mia figlia stiamo cercando l’Hôtel Hospitalité. Sai come ci si arriva?	Hoi, mijn dochter en ik zoeken Hôtel Hospitalité. Weet u hoe we daar komen?	Oi, minha filha e eu estamos procurando o Hôtel Hospitalité. Sabe onde fica?																		1632363510766
