Key	English(en)	DE	ES	FR	IT	NL	PT																		Last Edited
ho_01/t_trivia_01	The Louvre was originally built by King Philip II to be a fortress. After The Louvre lost its defensive capabilities, King Francis I converted it into the French royal residence.	Der Louvre-Palast wurde ursprünglich im Auftrag von König Phillipp II. erbaut, um als Festung zu dienen. Nachdem der Palast nicht mehr zur Abwehr genutzt wurde, konvertierte König Franz I. ihn in eine Residenz für französische Könige.	El Louvre fue construido originalmente como fortaleza por el rey Felipe II. Después de que el Louvre perdiera su capacidad defensiva, el rey Francisco lo convirtió en la residencia real francesa.	Le Louvre a été construit sous le règne du roi Philippe II en tant que forteresse. Après que le monument a perdu ses capacités défensives, le roi François Ier l’a transformé en résidence royale.	Il Louvre venne costruito originariamente dal re Filippo II perché fosse una fortezza. Dopo aver perso le sue abilità difensive, il re Francesco I lo trasformò nella residenza reale.	Het Louvre werd oorspronkelijk gebouwd door koning Filips II als kasteel. Nadat het Louvre niet langer een verdedigingsbolwerk was, toverde koning Frans I het om tot het Franse koninklijk paleis.	A princípio, o Louvre foi construído pelo Rei Felipe II para ser uma fortaleza, mas após perder sua capacidade defensiva, o Rei Francisco I o transformou na residência da realeza francesa.																		1632279774863
ho_01/t_trivia_02	The French Army is the only European army that continues to breed and train carrier pigeons. These carrier pigeons are kept and raised in Fort Mont-Valérien, a western Paris suburb.	Die französische Armee ist die einzige europäische Armee, die nach wie vor Brieftauben züchtet und trainiert. Diese Brieftauben werden in der Festung Mont Valérien gehalten und aufgezogen. Mont Valérien ist ein Hügel im Westen von Paris.	El ejército francés es el único ejército de Europa que sigue criando y entrenando palomas mensajeras. Estas palomas se encuentran y se crían en Fort Mont-Valérien, un suburbio parisino del oeste.	L’armée française est la seule armée d’Europe qui continue à élever et former des pigeons voyageurs. Ces pigeons sont abrités dans la forteresse du Mont-Valérien, dans la banlieue ouest de Paris.	L'esercito francese è l'unico esercito europeo che continua ad allevare e addestrare piccioni viaggiatori. Vengono tenuti e cresciuti a Fort Mont-Valérien, un sobborgo della Parigi occidentale.	Het Franse leger is het enige Europese leger dat postduiven fokt en traint. Deze postduiven worden gehouden in Fort Mont-Valérien, een voorstad ten westen van Parijs.	O Exército Francês é a única força militar europeia que continua criando e treinando pombos-correio. Eles são mantidos em Fort Mont-Valérien, no subúrbio oeste de Paris.																		1632279774863
ho_01/t_trivia_03	The second university in all of Europe was founded in Paris. This university is the University of Paris, which was founded in 1150 and officially chartered in 1200.	In Paris wurde die zweite Universität in ganz Europa gegründet. Die Universität von Paris wurde 1150 gegründet und im Jahr 1200 offiziell anerkannt.	En París se fundó la segunda universidad de toda Europa. Se trata de la Universidad de París, que fue fundada en el año 1150 y oficialmente constituida en 1200.	La deuxième université d’Europe a été fondée à Paris. Il s’agit de l’Université de Paris, créée en 1150 et qui a officiellement ouvert ses portes en 1200.	La seconda università più antica di tutta Europa venne fondata a Parigi: si tratta dell'Università di Parigi, fondata nel 1150 e il cui statuto ufficiale risale al 1200.	De tweede universiteit van Europa werd opgericht in Parijs. Dit is de Universiteit van Parijs, die in 1150 werd opgericht en in 1200 officieel werd erkend.	A segunda universidade mais antiga da Europa, Universidade de Paris, foi fundada em 1150 e licenciada oficialmente em 1200 na capital francesa.																		1632279774863
ho_01/t_trivia_04	Paris is the most populated city in France. Despite this, the largest French-speaking city is not Paris, but Kinshasa, the capital of the Democratic Republic of Congo.	Paris ist die bevölkerungsreichste Stadt in Frankreich. Nichtsdestotrotz ist die größte französischsprachige Stadt nicht Paris, sondern Kinshasa, die Hauptstadt der Demokratischen Republik Kongo.	París es la ciudad con mayor población de Francia. No obstante, la ciudad francófona más grande no es París, sino Kinshasa, la capital de la República Democrática del Congo.	Paris est la ville la plus peuplée de France. Pourtant, ce n’est pas cette ville qui regroupe le plus grand nombre d’habitants parlant français, mais Kinshasa, en république démocratique du Congo.	Parigi è la città più popolosa di Francia. Nonostante questo, la città di lingua francese più estesa non è Parigi, bensì Kinshasa, la capitale della Repubblica Democratica del Congo.	Parijs is de drukst bevolkte stad van Frankrijk. Desondanks is de grootste Franssprekende stad niet Parijs, maar Kinshaha, de hoofdstad van de Democratische Republiek Congo.	Paris é a cidade mais populosa da França, porém, a maior cidade de idioma francês é Kinshasa, a capital da República Democrática do Congo.																		1632279774863
ho_01/t_trivia_05	The French Academy of Sciences of Paris created the modern metric system. They proposed the establishment of a universal decimal system of measurement in 1788.	Die Pariser Akademie der Wissenschaften hat das moderne metrische System eingeführt. Im Jahr 1788 wurde die Etablierung eines universellen Dezimalsystem für Maßeinheiten vorgeschlagen.	La Academia de Ciencias de Francia, en París, creó el sistema métrico moderno. En 1788, propusieron la instauración de un sistema decimal de medida universal.	L’Académie des sciences de Paris est à l’origine de la création du système métrique. Ses membres ont proposé l’instauration d’un système décimal universel de mesure en 1788.	L'Accademia francese delle scienze di Parigi creò il moderno sistema metrico, proponendo l'istituzione di un sistema di misurazione decimale universale nel 1788.	De Franse Académie des sciences in Parijs bedacht het moderne metrieke stelsel. In 1788 stelden de leden van deze academie een universeel decimaal systeem voor.	O sistema métrico moderno foi criado pela Academia Francesa de Ciências de Paris. Em 1788, a instituição propôs a padronização de um sistema decimal universal de medição.																		1632279774863
ho_02/t_trivia_01	After being arrested in the United Kingdom for “gross indecency with men,” Oscar Wilde left for Paris, where he died of meningitis. He is buried in the Père Lachaise Cemetery.	Nachdem Oscar Wilde in Großbritannien wegen "grob unsittlichem Verhalten mit Männern" festgenommen worden war, ging er nach Paris, wo er an Meningitis starb. Er wurde auf dem Friedhof Père-Lachaise bestattet.	Tras ser arrestado en Reino Unido por «conductas obscenas con hombres», Oscar Wilde se marchó a París, donde murió de meningitis. Su cuerpo se encuentra enterrado en el cementerio del Père Lachaise.	Après avoir été interpelé au Royaume-Uni pour « indécence choquante impliquant des personnes de sexe masculin », Oscar Wilde est venu s’installer à Paris, où il est mort de la méningite. Il est enterré au cimetière du Père-Lachaise.	Dopo essere stato arrestato nel Regno Unito per "oltraggio alla decenza", Oscar Wilde se ne andò a Parigi, dove morì di meningite. È sepolto al cimitero Père Lachaise.	Nadat hij in het Verenigd Koninkrijk was gearresteerd wegens ‘onzedelijk gedrag met mannen’ verhuisde Oscar Wilde naar Parijs, waar hij bezweek aan hersenvliesontsteking. Hij ligt begraven op de Parijse begraafplaats Père-Lachaise.	Depois de ter sido preso no Reino Unido por "indecência grave com homens", Oscar Wilde foi para Paris, onde morreu de meningite. Ele está enterrado no cemitério Père Lachaise.																		1632280942747
ho_02/t_trivia_02	Paris has the greatest proportion of immigrants in France. 20% of the people living in Paris are immigrants, and around 40% of under-20 Parisians have at least one immigrant parent.	Paris hat den größten Anteil von Einwanderern in ganz Frankreich. Zwanzig Prozent der Bewohner von Paris sind Einwanderer und etwa 40 % der Pariser unter zwanzig Jahren haben mindestens einen Elternteil, der aus dem Ausland immigriert ist.	París cuenta con el mayor porcentaje de inmigrantes de Francia. Un 20 % de las personas que viven en París son inmigrantes, y alrededor del 40 % de los parisinos menores de 20 años tienen un padre inmigrante.	Paris abrite la plus grande proportion d’immigrants de France? 20 % des personnes vivant à Paris sont des immigrants et près de 40 % des moins de 20 ans ont au moins un parent immigrant.	Parigi ha la più alta proporzione di immigrati di Francia. Il 20% di tutte le persone che vivono a Parigi è immigrata e circa il 40% dei parigini sotto i 20 anni ha almeno un genitore immigrato.	Parijs heeft relatief gezien het grootste aantal immigranten van heel Frankrijk Twintig procent van de inwoners van Parijs is immigrant en ongeveer veertig procent van alle Parijzenaars jonger dan 20 heeft minstens één ouder die immigrant is.	Paris tem a maior população de imigrantes da França. 20% das pessoas que moram lá são imigrantes, e aproximadamente 40% dos parisienses com idade abaixo de 20 anos têm ao menos um dos pais imigrante.																		1632280942747
ho_02/t_trivia_03	There are more dogs in Paris than there are children. There are over 300000 dogs in Paris, meaning that there is roughly one dog for every seven Parisians.	In Paris gibt es mehr Hunde als Kinder. In Paris leben über 300.000 Hunde, also etwa ein Hund für jeden siebten Bewohner von Paris.	En París hay más perros que niños. En la ciudad hay más de 300.000 perros, lo que significa que hay aproximadamente un perro por cada siete parisinos.	À Paris, il y a plus de chiens que d’enfants. En effet, la population canine parisienne compte 300 000 individus, ce qui fait un chien pour sept Parisiens.	A Parigi ci sono più cani che bambini. Il numero dei cani supera le 300.000 unità, ovvero il rapporto tra cani e parigini è di uno a sette.		Em Paris há mais cães do que crianças. São mais de 300.000 animais, o que equivale aproximadamente a um cachorro para cada sete parisienses.																		1632280942747
ho_02/t_trivia_04	There was an urban legend that stated that the Louvre Pyramid was made with exactly 666 glass panes. However, the Louvre Pyramid is actually made with 673 glass panes.	Eine Großstadtlegende besagte, dass die Pyramide des Louvre aus genau 666 Glasscheiben besteht. Tatsächlich besteht die Pyramide des Louvre aus 673 Glasscheiben.	Existía una leyenda urbana que afirmaba que la Pirámide del Louvre había sido construida exactamente con 666 paneles de vidrio. Sin embargo, la Pirámide del Louvre cuenta en realidad con 673 paneles de vidrio.	D’après une légende urbaine, la Pyramide du Louvre compte 666 panneaux de verre? EN réalité, elle en compte 673.	Secondo una leggenda metropolitana, la piramide del Louvre è composta da esattamente 666 pannelli di vetro. Tuttavia, in realtà i pannelli che la compongono sono 673.	Op een bepaald moment ging het gerucht rond dat de piramide van het Louvre uit precies 666 glazen panelen bestond. In werkelijkheid bestaat de piramide van het Louvre uit 673 glazen panelen.	Uma lenda urbana afirmava que a Pirâmide do Louvre foi construída com exatamente 666 painéis de vidro, mas na verdade são 673.																		1632280942747
ho_02/t_trivia_05	On April 9 1956, Rome was designated as Paris’ twin city. The motto for this twinning is, “Only Paris is worthy of Rome; only Rome is worthy of Paris.”	Am 9. April 1956 ging Paris eine Partnerschaft mit Rom ein, seitdem sind sie Partnerstädte. Das Motto für diese Partnerschaft lautet wie folgt: "Nur Paris ist Rom würdig; nur Rom ist Paris würdig".	El 9 de abril de 1956, se nombró a Roma ciudad hermana de París. El lema de este hermanamiento es «Solo París es digna de Roma; solo Roma es digna de París».	Le 9 avril 1956, Rome a été désignée ville jumelle de Paris. La devise de ce jumelage est : « Seule Paris est digne de Rome, seule Rome est digne de Paris. »	Il 9 aprile 1956 Roma fu designata come città gemella di Parigi. Il motto di questo gemellaggio è "Solo Parigi è degna di Roma e solo Roma è degna di Parigi".	Op 9 april 1956 werd Rome aangewezen als de tweelingstad van Parijs. Het motto van deze samenwerking was: ‘Alleen Parijs is Rome waardig, en alleen Rome is Parijs waardig.’	Em 09 de abril de 1956, Roma foi denominada como cidade-irmã de Paris, cujo slogan é "Apenas Paris é digna de Roma, apenas Roma é digna de Paris".																		1632280942747
